"","x"
"1","BBB"
"2","BBB"
"3","BBB"
"4","BBB"
"5","BBB"
"6","BB"
"7","BB"
"8","BBB"
"9","A"
"10","A"
"11","A"
"12","A"
"13","BBB"
"14","A"
"15","A"
"16","BBB"
"17","A"
"18","BBB"
"19","AA"
"20","BBB"
"21","BB"
"22","AA"
"23","BBB"
"24","CCC"
"25","BB"
"26","BB"
"27","BBB"
"28","BBB"
"29","BBB"
"30","BB"
"31","BBB"
"32","BBB"
"33","CCC"
"34","CCC"
"35","BB"
"36","BBB"
"37","BBB"
"38","BBB"
"39","BBB"
"40","AA"
"41","BBB"
"42","A"
"43","BB"
"44","B"
"45","B"
"46","B"
"47","BB"
"48","AA"
"49","AA"
"50","BBB"
"51","BBB"
"52","BBB"
"53","BBB"
"54","BBB"
"55","BB"
"56","BBB"
"57","A"
"58","BBB"
"59","BBB"
"60","BB"
"61","AA"
"62","B"
"63","BBB"
"64","BBB"
"65","B"
"66","BBB"
"67","BBB"
"68","BB"
"69","BBB"
"70","B"
"71","BBB"
"72","BBB"
"73","BBB"
"74","BBB"
"75","BBB"
"76","BB"
"77","BB"
"78","BBB"
"79","A"
"80","BBB"
"81","A"
"82","BBB"
"83","BB"
"84","AA"
"85","BBB"
"86","BBB"
"87","BBB"
"88","BBB"
"89","BBB"
"90","BBB"
"91","A"
"92","A"
"93","BBB"
"94","BBB"
"95","BBB"
"96","BBB"
"97","BBB"
"98","BBB"
"99","BBB"
"100","BBB"
"101","A"
"102","BBB"
