"","x"
"1",10.736
"2",20.797
"3",14.704
"4",90.979
"5",171.304
"6",11.622
"7",19.942
"8",9.553
"9",11.419
"10",14.373
"11",23.65
"12",31.482
"13",10.736
"14",17.27
"15",14.562
"16",45.756
"17",45.756
"18",90.979
"19",29.393
"20",11.708
"21",11.147
"22",1.927
"23",12.669
"24",14.704
"25",10.736
"26",36.206
"27",24.805
"28",44.787
"29",27.694
"30",22.917
"31",12.669
"32",10.835
"33",19.942
"34",27.116
"35",29.386
"36",29.393
"37",23.473
"38",31.081
"39",44.787
"40",14.018
"41",25.381
"42",66.498
"43",27.15
"44",56.167
"45",29.386
"46",10.736
"47",14.562
"48",62.418
"49",11.708
"50",46.439
"51",13.819
"52",14.373
"53",13.379
"54",62.418
"55",14.543
"56",13.819
"57",1.927
"58",15.802
"59",16.552
"60",45.756
"61",20.4
"62",14.543
"63",11.147
"64",13.819
"65",11.708
"66",31.081
"67",5.984
"68",13.819
"69",66.498
"70",27.116
"71",51.087
"72",25.199
"73",1.938
"74",34.705
"75",18.513
"76",33.169
"77",11.622
"78",11.147
"79",13.947
"80",14.373
"81",11.708
"82",18.513
"83",19.942
"84",10.736
"85",18.371
"86",42.029
"87",33.907
"88",1.927
"89",14.543
"90",30.519
"91",13.819
"92",61.702
"93",24.805
"94",23.65
"95",9.553
"96",16.525
"97",11.708
"98",18.513
"99",13.947
"100",42.029
"101",11.708
"102",13.819
"103",10.736
"104",13.819
"105",18.513
"106",20.128
"107",16.525
"108",51.087
"109",14.543
"110",13.582
"111",18.371
"112",11.071
"113",61.702
"114",27.15
"115",90.979
"116",66.498
"117",1.813
"118",13.819
"119",66.498
"120",13.819
"121",56.167
"122",18.371
"123",45.165
"124",44.787
"125",11.708
"126",10.736
"127",62.418
"128",27.116
"129",1.813
"130",11.708
"131",21.574
"132",56.167
"133",45.756
"134",46.484
"135",10.736
"136",23.65
"137",14.543
"138",18.513
"139",25.381
"140",27.15
"141",32.789
"142",30.519
"143",13.379
"144",5.955
"145",5.984
"146",23.473
"147",14.543
"148",38.415
"149",14.543
"150",1.927
