"","binaire_cote_credit_2008","Cote_crédit","Marge_bénéficiaire.nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","ratio_Fonds_de_roulement_sur_tot_actif","Total_actif","Marge_opérationnelle"
"1","firm_inv","BBB",6.6369,13.6833,10.5743,14.5853,6.2883,9.5462,21.4086,0.24433757368911,0.13986322523715,1.5636,0.5288,0.1407,0.2371,0.198184920881167,12892,10.5743
"2","firm_spec","B",-0.306,10.0037,2.5774,-2.1739,-0.321,0.7003,45.2576,-0.229882793263075,0.29865556978233,1.0714,0.9069,0.7017,-0.0059,0.0219639515414163,10153,2.5774
"3","firm_spec","B",-9.2492,5.9105,-0.3519,-63.9626,-8.8423,-0.1383,47.1137,-0.0618620204153467,-0.0264522821576763,0.6232,0.4427,0.2606,-0.0871,-0.127859908482929,11364,-0.3519
"4","firm_inv","BBB",7.4711,17.8853,11.3056,9.4129,3.7634,3.1374,32.86,-0.00328714807933623,0.596395151163616,0.9406,0.7014,0.0065,-0.2024,-0.0069928189910548,2752.538,11.3056
"5","firm_inv","BBB",9.058,13.5873,9.8782,21.2136,9.8985,6.5105,27.2927,0.0442700748926136,0.634810860988628,1.1261,0.7383,0.0566,0.0158,0.0191103025766642,2132.253,9.8782
"6","firm_inv","A",17.4532,65.2741,34.6239,8.1791,2.7507,1.8293,54.1709,0.0653752610000563,2.70309661033506,0.6444,0.4101,0,-0.0333,-0.0120462073506881,1511.015,34.6239
"7","firm_inv","A",8.2042,37.4928,26.2765,14.0937,2.8545,4,34.8572,0.18018643395478,1.70781893004115,1.8615,1.5871,0.8889,0.2494,0.0622768742562475,10084,26.2765
"8","firm_inv","A",10.3113,39.5376,26.967,5.142,3.4048,97.7619,18.8568,0.0935805637183891,1.22234273318872,2.2299,0.8861,0.7793,0.3462,0.0938702868258764,24161,26.967
"9","firm_spec","BB",27.2942,54.9891,31.475,34.0342,16.1451,9.0924,24.0821,-0.123770852266112,1.13359329519704,0.4175,0.2106,0,-0.2704,-0.133607344787078,1812.333,31.475
"10","firm_spec","BB",5.3394,39.658,21.1766,5.6477,2.4213,4.7282,31.0113,-0.0370118246224441,0.945399068572346,0.8958,0.7863,0.4912,0.0022,-0.0163628570708217,39663,21.1766
"11","firm_spec","BB",3.6043,8.2412,5.6697,24.392,3.2786,4.9238,19.5647,0.0981055798429935,0.04666497590667,0.9884,0.4854,0.2851,-0.0153,-0.00644008837493536,21273,5.6697
"12","firm_spec","BB",1.8108,7.4788,5.1525,11.1305,1.5579,1.7148,19.8599,0.0470162748643761,0.17939247757594,0.9507,0.4693,0.2715,-0.0256,-0.0295660036166365,22120,5.1525
"13","firm_inv","BBB",56.9966,58.7031,51.1945,21.6032,8.3993,3.125,35.2227,0.723127530364372,0.579664022186356,2.2299,1.0914,0.4754,-0.0871,-0.152327935222672,1976,51.1945
"14","firm_inv","BBB",18.263,49.3279,42.425,6.0756,3.0768,2.2666,48.2117,-1.46686450377256,0.214997925311203,1.744,1.366,1.1315,-0.2024,-0.11880236556372,2027.931,42.425
"15","firm_inv","A",1.3243,22.1099,8.4566,4.1241,2.5907,1.1506,75.1433,0.129245925203753,0.557576896573326,0.5836,0.1612,0.0787,-0.2704,-0.0360860894006985,1842.178,8.4566
"16","firm_inv","BBB",24.3161,34.7356,23.514,10.8325,7.0756,5.7944,14.4266,0.373504176435192,0.870230536917794,4.2885,2.8517,2.103,0.8793,0.273482017628747,7202.554,23.514
"17","firm_inv","BBB",20.6234,36.5717,27.0666,14.3865,7.2705,11.0777,18.7284,0.307151269912523,0.338168650110757,1.503,0.3747,0.041,0.3194,0.112358555279355,7010.601,27.0666
"18","firm_inv","A",22.3414,42.6668,34.1193,18.2774,7.5528,7.7173,29.607,0.244573353293413,1.07346723044397,0.9281,0.7008,0.2183,-0.04,-0.00508982035928144,26720,34.1193
"19","firm_inv","BBB",40.5416,62.7033,40.8832,31.4561,12.6581,8.2545,30.5182,0.359765533411489,1.97865497076023,0.9918,0.4506,0.0079,-0.0573,-0.000656506447831184,42650,40.8832
"20","firm_inv","BBB",30.9807,44.688,35.104,22.7291,13.3906,9.2647,25.1684,0.259032455603184,3.62539682539683,2.1841,1.8952,1.1206,0.0847,0.057103490508267,6532,35.104
"21","firm_inv","BBB",31.8139,38.2415,28.5755,20.1856,10.0789,3.8385,33.7588,0.0924678709947609,0.764391482792249,0.6715,0.4579,0.0576,0.0299,-0.0223789149779171,4259.858,28.5755
"22","firm_inv","BBB",4.7617,10.4848,7.555,11.3013,4.1789,7.0723,25.0315,0.323154805575935,0.206612526318225,1.8458,1.4611,0.2452,0.2876,0.268209831254585,13630,7.555
"23","firm_inv","A",16.5926,42.3704,29.9259,14.555,4.8676,3.6727,36.5079,0.253753753753754,1.90861159929701,1.8278,1.5764,0.949,0.2474,0.0505148005148005,9324,29.9259
"24","firm_spec","BB",1.2885,8.1081,3.237,3.4849,1.1343,1.0198,29.357,0.167588012801862,0.22234273318872,1.09,0.538,0.0065,0.0891,0.0241489671224905,3437,3.237
"25","firm_spec","BB",-1.3443,7.5927,2.2903,-4.3992,-1.3846,0.902,44.9516,0.162738774497643,0.170798898071625,1.719,0.9201,0.0152,0.1373,0.129496402877698,4031,2.2903
"26","firm_spec","B",1.5507,3.2684,1.9353,7.3368,3.3072,18.3043,0,-0.797571253193537,0.106853020739405,1.6499,1.0163,0.4076,0.1557,0.334815355519427,3013.9,1.9353
"27","firm_spec","B",-9.3837,4.1859,2.7637,-41.3641,-17.4525,3.6713,19.3624,-0.643600443716655,0.1327467482785,2.0223,1.4505,0.7657,0.2055,0.423485288679943,3786.2,2.7637
"28","firm_spec","BB",-21.2038,41.7031,20.6759,-22.3336,-9.1407,3.7116,40.0797,-0.00270134462878272,1.14137690243688,0.3377,0.2736,0.1085,-0.3485,-0.0915739485015082,2630.912,20.6759
"29","firm_spec","BB",10.7538,43.8043,20.1709,14.6914,4.0578,3.1078,52.5445,0.0911346354601052,1.63184995986909,0.4243,0.33,0.1374,-0.1261,-0.0517136439570516,5173.741,20.1709
"30","firm_inv","BBB",12.0825,22.4803,20.307,33.676,15.47,19.4,22.6898,0.235132662397072,0.37153024911032,1.8285,0.5751,0.1331,0.2317,0.236657517535834,9837,20.307
"31","firm_inv","A",13.4486,44.3879,25.3782,11.4756,4.1147,2.2,49.9186,0.259472359949678,1.24494382022472,1.0382,0.633,0.015,0.0385,0.0028306075630874,5405.2,25.3782
"32","firm_spec","BB",2.5683,15.8834,8.1421,5.6887,2.0217,2.3281,37.0089,0.109975171608004,0.792740046838407,1.377,0.4005,0.0445,0.0609,0.0470278954286549,6847,8.1421
"33","firm_inv","A",37.4295,55.0169,41.0372,15.0799,7.5528,2.0449,29.5228,0.100920844572598,0.361305361305361,0.7304,0.2914,0.0171,0.0014,-0.0322760673425728,10751,41.0372
