"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"1",4,"BBB","BBB",6.6369,13.6833,10.5743,14.5853,6.2883,2118,12892,3150,634,4533,9.5462,21.4086,1.5636,0.5288,0.1407,2555,0.2371,10.5743,0.24433757368911,0.13986322523715,0.198184920881167
"2",6,"B","B-",-0.306,10.0037,2.5774,-2.1739,-0.321,4028,10153,-2334,933,3124,0.7003,45.2576,1.0714,0.9069,0.7017,223,-0.0059,2.5774,-0.229882793263075,0.29865556978233,0.0219639515414163
"3",6,"B","B-",-9.2492,5.9105,-0.3519,-63.9626,-8.8423,4691,11364,-703,-102,3856,-0.1383,47.1137,0.6232,0.4427,0.2606,-1453,-0.0871,-0.3519,-0.0618620204153467,-0.0264522821576763,-0.127859908482929
"4",4,"BBB","BBB-",7.4711,17.8853,11.3056,9.4129,3.7634,893.498,2752.538,-9.048,193.303,324.119,3.1374,32.86,0.9406,0.7014,0.0065,-19.248,-0.2024,11.3056,-0.00328714807933623,0.596395151163616,-0.0069928189910548
"5",4,"BBB","BBB-",9.058,13.5873,9.8782,21.2136,9.8985,576.094,2132.253,94.395,205.155,323.175,6.5105,27.2927,1.1261,0.7383,0.0566,40.748,0.0158,9.8782,0.0442700748926136,0.634810860988628,0.0191103025766642
"6",3,"A","A-",17.4532,65.2741,34.6239,8.1791,2.7507,818.388,1511.015,98.783,138.358,51.185,1.8293,54.1709,0.6444,0.4101,0,-18.202,-0.0333,34.6239,0.0653752610000563,2.70309661033506,-0.0120462073506881
"7",3,"A","A",8.2042,37.4928,26.2765,14.0937,2.8545,3360,10084,1817,1245,729,4,34.8572,1.8615,1.5871,0.8889,628,0.2494,26.2765,0.18018643395478,1.70781893004115,0.0622768742562475
"8",3,"A","A-",10.3113,39.5376,26.967,5.142,3.4048,4350,24161,2261,2254,1844,97.7619,18.8568,2.2299,0.8861,0.7793,2268,0.3462,26.967,0.0935805637183891,1.22234273318872,0.0938702868258764
"9",5,"BB","BB-",27.2942,54.9891,31.475,34.0342,16.1451,227.966,1812.333,-224.314,471.237,415.702,9.0924,24.0821,0.4175,0.2106,0,-242.141,-0.2704,31.475,-0.123770852266112,1.13359329519704,-0.133607344787078
"10",5,"BB","BB+",5.3394,39.658,21.1766,5.6477,2.4213,10099,39663,-1468,5887,6227,4.7282,31.0113,0.8958,0.7863,0.4912,-649,0.0022,21.1766,-0.0370118246224441,0.945399068572346,-0.0163628570708217
"11",5,"BB","BB+",3.6043,8.2412,5.6697,24.392,3.2786,4162,21273,2087,552,11829,4.9238,19.5647,0.9884,0.4854,0.2851,-137,-0.0153,5.6697,0.0981055798429935,0.04666497590667,-0.00644008837493536
"12",5,"BB","BB+",1.8108,7.4788,5.1525,11.1305,1.5579,4393,22120,1040,2380,13267,1.7148,19.8599,0.9507,0.4693,0.2715,-654,-0.0256,5.1525,0.0470162748643761,0.17939247757594,-0.0295660036166365
"13",4,"BBB","BBB",56.9966,58.7031,51.1945,21.6032,8.3993,696,1976,1428.9,51,87.982,3.125,35.2227,2.2299,1.0914,0.4754,-301,-0.0871,51.1945,0.723127530364372,0.579664022186356,-0.152327935222672
"14",4,"BBB","BBB",18.263,49.3279,42.425,6.0756,3.0768,977.701,2027.931,-2974.7,103.629,482,2.2666,48.2117,1.744,1.366,1.1315,-240.923,-0.2024,42.425,-1.46686450377256,0.214997925311203,-0.11880236556372
"15",3,"A","A-",1.3243,22.1099,8.4566,4.1241,2.5907,1356.776,1842.178,238.094,89.006,159.63,1.1506,75.1433,0.5836,0.1612,0.0787,-66.477,-0.2704,8.4566,0.129245925203753,0.557576896573326,-0.0360860894006985
