"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","Croissance_adj_des_Bén_ann","Croissance_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"1",6,"B","B-",273.2479,16.5367,-30.4108,-4.4658,70.6576,1328.074,1634.28,1830.944,-1484.305,8.974,200.981,-0.753,73.6867,2.2098,1.6894,1.1167,243.156,-3.0543,-30.4108,1.0634,-19.1362,60.7146,0.892588741108412,-0.810677442892847,0.0446509869092103,0.132803624796826
"2",4,"BBB","BBB",18.1962,10.2159,2.1084,23.3942,11.2635,7591,21077,45502,7745,2052,8335,0.7695,20.2694,1.3992,0.6786,0.2776,3327,0.117,2.1084,1.3031,132.0855,23.2841,0.4632104083337,0.170212298360512,0.24619076184763,0.0731176651575755
"3",5,"BB","BB",0.2055,17.847,8.3097,1.1046,0.1866,8873,18606,21883,2404,3470,5676,2.812,45.3366,1.1101,0.9695,0.8293,625,0.0256,8.3097,1.1064,34.717,18.2364,0.850249051775351,0.109856966595074,0.611346018322762,0.0285609834117808
"4",3,"A","A",0.6348,12.5787,7.2638,1.217,0.4302,5265,15611,26638,3048,1562,5845,4.2171,24.0821,1.1015,0.4258,0.031,593,0.0184,7.2638,1.2945,-25.0723,18.2364,0.586042495682859,0.114423004730085,0.267236954662104,0.0222614310383662
"5",6,"B","B-",-43.0921,-9.7588,-17.4342,-24.5621,-29.4052,2,755.323,1228,1346.624,-19,948,2.2593,12.2964,0.4156,0.1519,0,-554,-0.2012,-17.4342,1.4946,12.7108,11.0754,0.615083876221498,1.0965993485342,-0.020042194092827,-0.45114006514658
"6",4,"BBB","BBB",11.2218,38.7724,22.9533,6.3839,2.0777,3323.747,5360.081,9398.589,-595.259,530.352,498.981,2.4874,35.5031,0.9852,0.5863,0.0938,-7.376,-0.0222,22.9533,0.4378,3.0708,23.5301,0.570306989698135,-0.0633349325095501,1.06287012932356,-0.000784798654351201
"7",4,"BBB","BBB-",-10.2215,-1.5787,-10.8347,-11.1532,-2.5961,8066.9,15847.5,23487.7,-1905.3,-78.6,4102,-1.4926,43.2865,0.9832,0.402,0.0248,-69,-0.0214,-10.8347,0.8644,-78.1354,26.3835,0.67471485075167,-0.0811190538026286,-0.0191613846903949,-0.00293770782154064
"8",3,"A","A",29.1536,76.7389,48.9999,8.7285,3.0489,4621.192,6249.637,9633.401,1247.168,493.623,567.195,2.5238,51.9569,0.5144,0.2895,0.0087,-275.455,-0.2875,48.9999,1,-5.7397,10.4595,0.648746688734332,0.129462896852316,0.870287996191786,-0.0285937437878897
"9",3,"A","A-",6.7103,42.1849,28.2324,8.5662,1.4536,10290,15902,23344,3687,514,1748,2.7219,47.0057,1.1997,0.8301,0.3953,349,0.1616,28.2324,0.4854,2.6139,7.8343,0.68120287868403,0.157942083618917,0.294050343249428,0.0149503084304318
"10",6,"B","B-",-74.247,-39.8369,-60.966,-45.7453,-27.4586,581.14,859.689,1825.638,-1386.718,83.844,155.625,-6.792,32.1312,1.6205,1.1192,0.4748,96.572,0.2505,-60.966,1.4879,-62.0127,-15.9111,0.470897845027327,-0.759579938629674,0.538756626506024,0.0528976719371529
"11",5,"BB","BB",5.6431,12.5386,9.1571,9.1411,4.3789,328.247,899.212,1688.843,191.449,127.598,457.53,4.4123,20.6501,1.6545,0.9656,0.4908,299.463,0.288,9.1571,1.2945,5.674,5.2503,0.532442624921322,0.113361040665118,0.278884444735864,0.177318436349619
"12",6,"B","B+",-2.7326,-0.5933,-1.2264,-18.9469,-4.9458,326.998,1281.275,1720.568,-89.469,-17.176,884.219,-0.8188,62.5959,1.1183,0.1713,0.0286,104.633,0.0382,-1.2264,0.8327,-50.3673,22.6833,0.744681407535186,-0.0519996884749687,-0.0194250519384904,0.0608130570834748
"13",4,"BBB","BBB",-21.3309,25.6109,5.495,-18.3068,-6.4457,5695,13246,22631,-13453,1765,1668,0.8805,25.3546,2.3849,1.0917,0.943,2310,0.3622,5.495,0.478,-22.8203,-9.582,0.58530334496929,-0.594450090583713,1.05815347721823,0.102072378595732
"14",5,"BB","BB",-31.2211,23.1394,-30.4796,-13.0901,-6.0526,2103.94,3321.774,6377.198,-3333.103,485.322,260.1,-2.756,32.9916,0.7349,0,0,-68.954,-0.0647,-30.4796,1.961,21.4598,18.77,0.520882995949005,-0.522659481483874,1.86590542099193,-0.0108125857155447
"15",5,"BB","BB",14.7053,72.382,37.5757,13.3053,4.5626,326.977,515.762,997.76,-38.489,172.607,92.563,4.5737,32.7711,0.6133,0.6133,0.0443,-35.798,-0.0178,37.5757,2.1463,-3.3345,8.754,0.516919900577293,-0.0385754089159718,1.86475157460324,-0.035878367543297
"16",4,"BBB","BBB+",12.4808,40.0503,22.9461,17.0561,5.1886,19760,36411,57100,-4937,7384,10429,5.0374,42.7408,0.5555,0.326,0.0408,-4636,-0.2069,22.9461,0.7471,5.674,4.7,0.637670753064799,-0.0864623467600701,0.708025697574072,-0.0811908931698774
"17",4,"BBB","BBB+",10.9826,44.5351,26.8027,25.5793,6.3285,10532,17706,22826,-21.71,3100,4248,4.747,53.2638,0.6481,0.4962,0,-1495,-0.1123,26.8027,1.04,60.5989,4.7,0.775694383597652,-0.000951108385174801,0.729755178907721,-0.0654954876018575
"18",3,"A","A+",6.0645,61.5977,28.6108,1.073,0.6025,13.8005,1125.5,243.9775,139.0766,8.7186,8.562,1.1955,5.8221,1.6681,1.6224,1.5436,5.7205,0.1206,28.6108,1.4946,4.6192,-8.5454,4.61313030914736,0.570038630611429,1.01829011913104,0.0234468342367636
"19",6,"B","B-",1.4289,7.8406,6.1653,36.1536,0.9303,9093,28972,24958,-8599,597,12392,2.8357,36.4693,0.9964,0.3755,0.2572,-44,0.0257,6.1653,1.2672,27.7724,-3.1985,1.16083019472714,-0.34453882522638,0.0481762427372498,-0.00176296177578332
"20",4,"BBB","BBB",62.7073,52.5646,52.2946,26.2208,7.2977,2096.8,2801.158,4665.1,1121,122.5,60.377,2.8608,44.9465,0.8521,0.7842,0.2154,694,-0.083,52.2946,1,-1.3844,12.2332,0.600449722406808,0.240294956163855,2.02891829670239,0.148764227990825
"21",2,"AA","AA-",5.6381,30.0537,11.3372,8.5156,2.4023,1262.657,1544.212,2182.53,525.006,219.999,251.456,1.622,60.6731,0.9415,0.6275,0.535,-14.702,0.0287,11.3372,0.6489,12.7108,7.8343,0.707533000691858,0.240549270800401,0.874900579027742,-0.006736218975226
"22",4,"BBB","BBB",5.1292,72.382,44.4019,2.9732,0.4283,2753.6,3453.42,6157.2,317.1,154.4,49.522,2.5328,45.93,0.7267,0.7082,0.5402,-20.521,0.0123,44.4019,0.6997,17.1768,5.5583,0.560875073085169,0.0515006821282401,3.11780622753524,-0.00333284609887611
"23",4,"BBB","BBB+",8.8134,47.7429,30.5245,3.4726,1.2414,14121,21912,36580,0,1362,2417,2.5586,41.2958,0.9417,0.6554,0.2234,-141,-0.0207,30.5245,0.6797,24.2865,18.4591,0.59901585565883,0,0.563508481588746,-0.00385456533624932
"24",4,"BBB","BBB+",0.8048,65.2582,37.7934,0.5687,0.0738,10223,16897,34103,0,1103,1689,1.5986,31.4283,1.161,0.3031,0.1024,272,-0.0966,37.7934,0.5575,17.2289,14.9407,0.495469606779462,0,0.653049141503848,0.0079758379028238
"25",6,"B","B",8.0654,8.4752,8.2727,8.6573,3.9817,2402.4534,3268.6674,6160.4908,1684.0517,-129.6062,866.2139,4.7184,38.9978,4.793,0.11,0.11,3285.538,1.1461,8.2727,1,-25.0723,6.2222,0.530585550099352,0.273363235929189,-0.149623782301346,0.533324065673469
"26",4,"BBB","BBB",7.9517,19.038,3.358,3.3762,2.1057,996.072,3025.044,8018.636,2791.321,594.54,875.875,0.9616,18.6524,2.3779,1.7073,1.2588,1206.851,0.7007,3.358,1.3656,-27.5362,-0.0515,0.37725169218306,0.348104216228296,0.678795490224062,0.150505771804581
"27",3,"A","A",30.2214,47.6363,38.3563,25.2384,10.9788,11385,23573,41214,16623,5918,3500,11.2331,30.4969,0.7794,0.41,0.076,-772,-0.0896,38.3563,1.0343,-3.3345,6.4423,0.571965836851555,0.403333818605328,1.69085714285714,-0.0187314990051924
"28",4,"BBB","BBB+",12.2645,47.8463,23.4166,8.1443,3.5633,19482,39585,71559,22529,10121,4762,6.1225,28.8196,0.6342,0.3723,0.1312,-1742,-0.0735,23.4166,1.2488,34.3613,6.695,0.553179893514443,0.314831118377842,2.12536749265015,-0.0243435486801101
"29",3,"A","A-",12.4627,35.9252,21.9995,9.9686,4.5536,1889,5517,10014,1805,745,507,101.5,18.8636,0.8521,0.43,0.0651,-75,0.0195,21.9995,1.4879,-78.1354,-8.5454,0.550928699820252,0.1802476532854,1.46942800788955,-0.00748951467944877
"30",3,"A","A-",19.8194,40.9458,29.5865,18.0383,8.1921,1602,5458,10190,2040,1583,1127,77.8125,15.7213,1.1943,1.0426,0.7152,219,0.1321,29.5865,1.1168,3.9569,-19.0753,0.535623159960746,0.200196270853778,1.40461401952085,0.0214916584887144
"31",4,"BBB","BBB+",5.3556,14.498,9.9743,18.1937,4.2298,5601.2,14013.6,19518.3,3729.6,1087.6,5751.4,13.5359,39.9963,1.6614,0.2008,0.0708,3803.9,0.2684,9.9743,0.9966,24.3146,6.0466,0.717972364396489,0.191082215151934,0.189101783913482,0.194888899135683
"32",3,"A","A-",14.4848,45.0765,30.5003,11.8594,2.9725,9800,15257,21819,3675,393,1645,2.6915,48.0315,1.1283,0.7842,0.3641,211,0.148,30.5003,0.4645,-3.5931,7.7095,0.699252944681241,0.168431183830606,0.238905775075988,0.00967047069068243
"33",4,"BBB","BBB-",20.8333,48.5849,22.2484,10.1134,3.6635,2208,4516,7569,-222,445,906,2.5727,35.1962,0.9901,0.3223,0.2009,-9,-0.0405,22.2484,0.4684,24.5968,7.7185,0.596644206632316,-0.0293301625049544,0.491169977924945,-0.00118906064209275
"34",4,"BBB","BBB-",5.9836,34.3443,19.0984,2.7356,1.367,1447,2609,5443,161,337,877,3.026,37.8284,0.5553,0.2862,0.0787,-390,-0.2656,19.0984,0.6397,-5.7397,12.9126,0.479331251148264,0.0295792761344847,0.384264538198404,-0.0716516626860187
"35",5,"BB","BB-",1.2261,10.1527,4.9043,3.8501,1.216,1821,3262,4948,998,373,982,2.8148,38.2377,1.4287,0.7251,0.1253,421,0.085,4.9043,0.8022,24.8082,5.2503,0.659256265157639,0.201697655618432,0.379837067209776,0.0850848827809216
