"","Cote_crédit","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","ratio_Fonds_de_roulement","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","Total_actif","Marge_d_explt","Beta_applique"
"1",6,13.0854,-27.5483,-185.1165,-11.4498,0.990512300613304,-1.05565627334417,0.356544209739459,-1.3647,83.8204,2.3256,1.8369,0.168096245472408,1.2927,0.5026,1593.01,-27.5483,1.2085
"2",4,18.284,9.2993,4.195,2.1495,0.511335712301545,0.1517340114105,0.401467849709716,3.361,23.727,1.1683,0.4615,0.032821214128507,0.0735,0.1214,46799,9.2993,1
"3",6,19.0058,8.6247,38.4525,5.9466,0.841492849166036,0.126337404085162,0.734662379421222,3.4375,33.2937,0.9667,0.8765,-0.0093303072877265,0.7574,0.0096,27759,8.6247,1.0733
"4",3,16.7336,12.3218,17.3866,6.4271,0.546874460071184,0.147931856664017,0.509951496905837,10.257,20.6607,1.284,0.525,0.0586751442689796,0.0383,0.0485,28939,12.3218,0.7331
"5",7,-9.7588,-17.4342,-24.5621,-29.4052,0.991042345276873,14.3599348534202,-0.020042194092827,1.2536,12.2964,0.4156,0.1519,-0.45114006514658,0,-0.2012,1228,-17.4342,1.7643
"6",4,40.1759,22.6794,15.6311,5.2278,0.565744028989678,-0.0336441377742871,0.700933186249665,2.0306,36.1231,0.5885,0.3688,-0.0328897023040892,0.0717,-0.1127,10911.47,22.6794,0.5344
"7",4,10.5096,2.0073,13.0858,3.8515,0.627734976887519,-0.070868170451388,0.196953697481681,0.319,37.8459,0.7028,0.4094,-0.0469271767410139,0.0183,-0.0908,19794.5,2.0073,0.948
"8",3,77.4441,48.4058,7.5629,2.6489,0.649712560230428,0.126942442425805,1.22539571011088,2.3394,51.4528,0.2804,0.1518,-0.0430409093370414,0.0023,-0.3686,9566.178,48.4058,1
"9",3,46.6213,33.0854,12.9758,2.2776,0.637930240058978,0.17656545178086,1.14725274725275,3.047,43.934,2.2385,2.0659,0.0519283048426485,1.2527,0.1568,21703,33.0854,0.5221
"10",7,25.9394,8.8365,22.5859,12.598,0.417204491118791,-0.545895441289919,0.52115401926366,0.9503,27.9349,2.5996,2.1077,0.135815502050428,1.4312,0.2452,2093.465,8.8365,1.3893
"11",5,11.6815,6.6875,6.3827,2.7938,0.585784469104226,0.115385660349299,0.0439763033277788,3.1724,31.7247,2.128,1.4044,0.248776318856344,0.7751,0.2873,2097.973,6.6875,0.8482
"12",6,2.4654,1.2219,-7.3248,-1.5283,0.815017912807419,-0.0790304319225375,0.105714291355217,0.6175,71.6639,1.0232,0.1811,0.0118035073824687,0.0548,0.0184,1989.917,1.2219,0.9505
"13",4,90.5835,69.6717,27.3488,11.8437,0.328099657595963,-0.219003424040368,1.19234006734007,15.5632,12.4707,2.8986,1.548,0.10161740854208,1.3952,0.351,44392,69.6717,0.3537
"14",6,50.7356,3.8717,-0.4151,-0.2027,0.501662556984743,-0.565694123670567,3.57577120244626,0.5627,31.2385,0.7913,0.0239,-0.0082399925736585,0.0239,-0.0377,5914.083,3.8717,2.0469
"15",6,72.382,37.5757,13.3053,4.5626,0.755203656189865,-0.0385754089159718,1.86475157460324,4.5737,32.7711,0.6133,0.6133,-0.035878367543297,0.0443,-0.0178,997.76,37.5757,1.1211
"16",4,41.6959,23.3433,18.1878,5.4433,0.644066105809198,-0.077012602666844,0.813951109747366,4.6812,43.7203,0.5646,0.3134,-0.0707777740830645,0.0148,-0.1855,60146,23.3433,0.7245
"17",4,43.5682,26.8069,26.5778,6.2966,1.10770478507705,0.0731954582319546,0.861241970021413,4.792,52.7413,0.5867,0.4604,-0.078264395782644,0,-0.12,24660,26.8069,1.2085
"18",3,59.2894,31.4745,2.0602,1.1797,16.8486651859364,0.575133497684087,1.18140509563674,1.441,5.616,1.91,1.8652,0.0346365550476001,1.8118,0.2755,245.7346,31.4745,0.8784
"19",7,-0.4823,-3.1605,36.1536,-7.1981,1.23670510972289,-0.435968284478616,-0.0444009141364675,-0.7444,39.324,0.8804,0.2809,-0.0733621656255006,0.1683,-0.0595,24972,-3.1605,1.7643
"20",4,52.1849,51.7753,15.5813,4.4523,1.6488854984557,0.258140140661631,0.171259615319334,2.4897,45.1792,1.0739,0.6264,0.319837755367841,0.1521,0.0096,5374.6,51.7753,0.7331
"21",2,28.5018,9.0551,4.5518,1.2669,0.734761495045365,0.232044505504514,0.938170197871731,1.2536,63.1337,1.6209,1.2738,0.0578691024042614,1.1852,0.0647,2360.517,9.0551,1
"22",4,66.0403,44.4019,2.9732,0.4283,0.185515006821282,0.0515006821282401,0.764345083983901,2.5328,45.93,1.0713,0.4785,0.02763382706425,0.0377,-0.1127,6157.2,44.4019,0.6997
"23",4,44.308,25.9057,0.9061,0.5017,0.606148327058322,0,0.394006251149108,1.8905,40.5307,1.0739,0.4721,0.00713930524969809,0.1521,0.0198,56308,25.9057,0.8368
"24",4,66.0403,39.2617,-0.7506,-0.0974,0.492000784511501,0,0.722288438617402,1.7155,30.8313,0.8784,0.3105,-0.00571572665377826,0.0685,0.0114,35691,39.2617,0.6682
"25",6,7.345,7.1189,7.8002,3.0578,0.452278719398407,0.248591417216338,-0.239211779620721,3.8235,34.8486,4.7505,0.1641,0.451893275042335,0.1641,1.2702,7215.5681,7.1189,1
"26",4,19.7625,4.9605,1.4818,0.9582,0.327481322826436,0.380436468527778,1.63851339173065,1.4637,13.4197,6.5137,4.9893,0.205940073631579,3.8298,0.7344,7427.248,4.9605,1.1317
"27",6,26.6361,20.0501,33.0034,16.5062,0.532488541385818,0.3499595578323,0.310481867858917,6.8607,34.6904,2.6041,0.3179,0.290195021119799,0.1575,0.3129,1112.7,20.0501,1.5874
"28",1,73.8458,52.5077,12.324,0.6508,0.0886128916389867,0.0550636731580331,1.07142857142857,1.441,90.8299,2.2385,1.8652,-0.000568040851542857,1.4312,0.2023,270051,11.1401,2.3194
"29",3,49.1118,37.4941,23.631,9.9202,0.587954503928376,0.40274986296364,1.38161884767903,10.3959,32.6535,0.6601,0.2979,-0.0332769961629819,0.0149,-0.0747,43784,37.4941,1.0863
"30",4,48.5553,24.2382,16.1756,7.2368,0.552092267124077,0.325443862725772,1.33026970016574,6.6124,29.174,0.6761,0.4662,-0.0275214090961457,0.0948,-0.0853,78121,24.2382,1.327
"31",4,35.9252,21.9995,9.9686,4.5536,0.550928699820252,0.1802476532854,1.46942800788955,101.5,18.8636,0.8521,0.43,-0.00748951467944877,0.0651,0.0195,10014,21.9995,0.5829
"32",4,14.498,9.9743,18.1937,4.2298,0.717972364396489,0.191082215151934,0.189101783913482,13.5359,39.9963,1.6614,0.2008,0.194888899135683,0.0708,0.2684,19518.3,9.9743,0.9966
"33",3,52.6248,37.7209,17.4307,4.5434,0.654709638794652,0.202255038914388,1.19079837618403,3.0246,45.021,2.3194,2.1759,0.0486429854320495,1.3221,0.1519,20044,37.7209,0.4718
