"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","Croissance_adj_des_Bén_ann","Croissance_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"1",6,"B","B-",13.0854,-27.5483,-185.1165,-11.4498,1311.792,1577.896,1593.01,-1681.671,72.023,202.003,-1.3647,83.8204,2.3256,1.8369,1.2927,267.779,0.5026,-27.5483,1.2085,-17.6043,21.8644,0.990512300613304,-1.05565627334417,0.356544209739459,0.168096245472408
"2",4,"BBB","BBB",18.284,9.2993,4.195,2.1495,9412,23930,46799,7101,3665,9129,3.361,23.727,1.1683,0.4615,0.0735,1536,0.1214,9.2993,1,-2.7604,22.2947,0.511335712301545,0.1517340114105,0.401467849709716,0.032821214128507
"3",5,"BB","BB+",19.0058,8.6247,38.4525,5.9466,8024,23359,27759,3507,5712,7775,3.4375,33.2937,0.9667,0.8765,0.7574,-259,0.0096,8.6247,1.0733,13.1653,21.1231,0.841492849166036,0.126337404085162,0.734662379421222,-0.0093303072877265
"4",3,"A","A",16.7336,12.3218,17.3866,6.4271,5476,16512,28939,4281,3049,5979,10.257,20.6607,1.284,0.525,0.0383,1698,0.0485,12.3218,1.1021,40.6421,-19.0753,0.570579494799406,0.147931856664017,0.509951496905837,0.0586751442689796
"5",6,"B","B-",-9.7588,-17.4342,-24.5621,-29.4052,2,6173.099,1228,584.2259,-19,948,2.3617,12.2964,0.4156,0.1519,0,-554,-0.2012,-17.4342,2.3194,-97.6604,4.9197,5.02695358306189,0.475753990228013,-0.020042194092827,-0.45114006514658
"6",4,"BBB","BBB",40.1759,22.6794,15.6311,5.2278,3716.55,6173.099,10911.47,-367.107,611.26,872.066,2.0306,36.1231,0.5885,0.3688,0.0717,-358.875,-0.1127,22.6794,0.5344,3.8441,25.3036,0.565744028989678,-0.0336441377742871,0.700933186249665,-0.0328897023040892
"7",4,"BBB","BBB-",10.5096,2.0073,13.0858,3.8515,6081.2,12425.7,19794.5,-1402.8,615.5,3125.1,0.319,37.8459,0.7028,0.4094,0.0183,-928.9,-0.0908,2.0073,0.948,-78.1354,18.7131,0.627734976887519,-0.070868170451388,0.196953697481681,-0.0469271767410139
"8",3,"A","A",77.4441,48.4058,7.5629,2.6489,4549.053,6215.266,9566.178,1214.354,701.093,572.136,2.3394,51.4528,0.2804,0.1518,0.0023,-411.737,-0.3686,48.4058,1,-6.1223,4.7115,0.649712560230428,0.126942442425805,1.22539571011088,-0.0430409093370414
"9",3,"A","A-",46.6213,33.0854,12.9758,2.2776,9347,13845,21703,3832,1044,910,3.047,43.934,2.2385,2.0659,1.2527,1127,0.1568,33.0854,0.5221,12.869,4.1749,0.637930240058978,0.17656545178086,1.14725274725275,0.0519283048426485
"10",7,"CCC","CCC+",25.9394,8.8365,22.5859,12.598,571.926,873.403,2093.465,-1142.813,92.632,177.744,0.9503,27.9349,2.5996,2.1077,1.4312,284.325,0.2452,8.8365,1.3893,-62.0127,-13.3988,0.417204491118791,-0.545895441289919,0.52115401926366,0.135815502050428
"11",5,"BB","BB",11.6815,6.6875,6.3827,2.7938,645.174,1228.96,2097.973,242.076,20.347,462.681,3.1724,31.7247,2.128,1.4044,0.7751,521.926,0.2873,6.6875,0.8482,20.5262,11.4397,0.585784469104226,0.115385660349299,0.0439763033277788,0.248776318856344
"12",6,"B","B",2.4654,1.2219,-7.3248,-1.5283,572.56,1621.818,1989.917,-157.264,107.089,1013.004,0.6175,71.6639,1.0232,0.1811,0.0548,23.488,0.0184,1.2219,0.9505,103.2396,7.9414,0.815017912807419,-0.0790304319225375,0.105714291355217,0.0118035073824687
"13",4,"BBB","BBB",90.5835,69.6717,27.3488,11.8437,5161,14565,44392,-9722,2833,2376,15.5632,12.4707,2.8986,1.548,1.3952,4511,0.351,69.6717,0.3537,28.6509,5.554,0.328099657595963,-0.219003424040368,1.19234006734007,0.10161740854208
