"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_actif","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"1",4,"BBB","BBB",9.3728,18.7808,13.284,34.3891,10.7823,715,2661,440,532,5.4638,29.1244,2.4737,1.5282,0.7989,784,0.2116,13.284,0.8219,0.827067669172932,0.294626080420894
"2",4,"BBB","BBB+",14.2048,38.615,15.8407,4.4924,2.7935,170.6624,685.6112,51.1711,38.8575,2.0441,25.0942,1.3692,1.2751,0.7323,14.348,0.0828,15.8407,0.2414,1.31689120504407,0.0209273127393485
"3",4,"BBB","BBB+",30.3755,67.0561,47.4611,7.3958,4.8263,73.121,328.502,22.537,15.932,2.3339,22.5615,1.127,1.0826,0.6013,2.024,0.0212,47.4611,1.0448,1.41457444137585,0.00616130190988183
"4",4,"BBB","BBB-",7.6105,15.4263,10.5887,15.5403,6.4897,251.462,1108.5959,147.706,301.333,4.3309,32.4265,0.6465,0.5415,0.0089,-106.512,-0.0563,10.5887,0.312,0.490175320990399,-0.0960782914676123
"5",4,"BBB","BBB+",3.3962,11.0358,6.9444,8.7816,3.4274,216.928,571.419,21.543,92.516,2.8833,37.963,1.2781,1.1044,0,25.731,0.0345,6.9444,0.3718,0.232857019326387,0.0450300042525712
"6",5,"BB","BB+",4.8731,29.2113,19.7004,13.4158,2.3082,3115,7193.8999,696.3,468.4,2.8755,44.3139,3.0064,2.5442,1.6245,939.8,0.2396,19.7004,0.3017,1.48654995730145,0.13063845939808
"7",3,"A","A-",6.8031,14.3895,10.6666,10.5587,7.3059,53.279,712.807,8.311,125.574,19.432,8.0468,3.4337,1.7935,0.5809,305.614,0.3795,10.6666,0.3394,0.0661840826922771,0.428747192437785
"8",4,"BBB","BBB",2.1051,2.2253,-1.9784,2.2142,1.5325,22.405,752.798,56.614,200.184,-5.5843,8.4391,2.2431,1.4875,1.058,248.846,0.4605,-1.9784,1.2888,0.282809814970227,0.330561452076121
"9",3,"A","A",-61.4153,46.436,13.8946,-32.3802,-22.1292,901,5393,940,590,10.3462,16.7625,1.9763,1.4932,1.3932,576,0.2624,13.8946,0.4054,1.59322033898305,0.106805117745225
"10",3,"A","A+",26.8653,37.587,16.7017,54.5423,11.0048,14044,51383,2325,11514,2.262,38.7833,0.5819,0.3999,0.0226,-4814,-0.134,16.7017,-0.5193,0.201928087545597,-0.0936885740419983
"11",3,"A","A-",1.8008,7.4788,3.9981,10.7527,1.4865,5080,18577,954,9769,1.5867,27.3456,0.9752,0.4542,0.2711,-242,-0.0409,3.9981,0.9734,0.0976558501381922,-0.0130268611724175
"12",3,"A","A-",5.2781,10.2662,8.5957,22.2254,4.592,3306.2125,11745.2249,595.2071,5498.6556,12.3351,55.386,0.9525,0.2802,0.2087,-260.9805,-0.0435,8.5957,0.4266,0.108245931969262,-0.0222201364573274
"13",4,"BBB","BBB",39.184,68.4857,53.2904,9.5494,6.3787,66.5779,221.9947,21.866,8.3682,3.7777,29.9908,1.5313,1.5082,0.9505,4.4461,-0.7957,53.2904,1.2116,2.61298726129873,0.020027955622364
"14",3,"A","A-",26.5893,30.3212,13.1318,13.7487,7.4509,518.603,4052.104,228.042,296.319,7.1891,12.7984,2.8727,1.257,0.6396,554.921,0.4937,13.1318,0.8875,0.769582780719427,0.13694638637113
"15",3,"A","A-",-11.3707,31.0001,14.0168,-5.2177,-2.7178,269.677,2800.539,224.305,159.909,7.7099,10.5104,3.5625,1.0818,0.2072,409.766,0.593,14.0168,0.5952,1.40270403792157,0.146316834009453
"16",4,"BBB","BBB",14.1755,33.162,25.4315,14.4265,5.1547,3886,15196,1128,1903,4.6949,28.4285,0.5912,0.3973,0.01,-778,-0.0944,25.4315,0.2916,0.592748292170257,-0.0511976836009476
"17",4,"BBB","BBB+",28.8996,79.38,55.6492,31.3468,12.4342,2454.5,7775.6,1833.2,689.3,9.3251,31.7789,0.8879,0.8387,0.0406,-77.3,-0.0075,55.6492,0.7842,2.65950964746845,-0.00994135500797366
