"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"1",4,"BBB","BBB",8.8623,17.4919,15.0291,23.6196,10.5332,2098,6712,13140,4420,1299,3427,14.5313,17.9833,2.0826,0.9717,0.3928,3710,0.2025,15.0291,0.510806697108067,0.336377473363775,0.379048730668223,0.28234398782344
"2",7,"CCC","CCC+",-2.196,7.8109,1.5415,-2.1739,-2.5776,3906,12791,9633,-4983,576,2305,0.5665,36.1466,1.4434,1.2195,0.9106,1022,0.0536,1.5415,1.32783141285166,-0.5172843350981,0.249891540130152,0.106093636458009
"3",7,"CCC","CCC+",-0.2464,3.5322,-3.2447,-2.1739,-0.2205,4054,8759,10406,-727,-167,3002,-0.8564,43.4557,0.8831,0.7022,0.4687,-351,-0.0926,-3.2447,0.841725927349606,-0.0698635402652316,-0.0556295802798135,-0.0337305400730348
"4",4,"BBB","BBB",7.2468,14.0214,7.794,7.5964,2.9397,1214.298,2195.438,3556.226,-38.634,185.402,557.87,1.8922,37.5984,0.6305,0.4256,0.0052,-206.135,-0.0881,7.794,0.617350528341,-0.0108637640015005,0.332339075411834,-0.0579645388116503
"5",4,"BBB","BBB",11.1745,19.3474,13.486,14.0865,5.9359,408.17,1580.084,2628.941,34.849,184.146,860.955,5.3698,38.5929,0.3852,0.2633,0.0267,-529.29,-0.1932,13.486,0.601034408912182,0.0132559079872846,0.213885743157308,-0.201332019242729
"6",3,"A","A-",21.9395,62.1456,34.8827,9.5101,3.2207,804.107,2195.438,1999.286,132.469,124.084,133.632,2.0233,40.2385,0.3141,0.2458,0.0623,-91.664,-0.2132,34.8827,1.09811102563615,0.0662581541610355,0.92855004789272,-0.0458483678673286
"7",3,"A","A",8.1934,36.6575,26.1087,15.7933,2.9019,4588,7790,12453,1996,1483,997,4.4914,38.3843,1.6229,1.3982,0.7703,621,0.1565,26.1087,0.625552075805027,0.160282662812174,1.48746238716148,0.0498675018067935
"8",3,"A","A-",-52.532,-32.2148,-45.4031,-28.174,-16.6836,6281,11528,27075,-2382,-2322,1773,-64.807,23.398,2.7851,1.5877,1.4461,3165,0.3339,-45.4031,0.425780240073869,-0.0879778393351801,-1.30964467005076,0.116897506925208
"9",5,"BB","BB-",11.8366,50.8031,18.7407,9.0337,4.7384,150,872.008,1884.005,-300.78,303.162,486.324,4.2421,22.0322,0.3692,0.3029,0.0209,-306.785,-0.371,18.7407,0.462848028534956,-0.159649257831057,0.623374540429837,-0.162836616675646
"10",4,"BBB","BBB+",9.7998,37.0003,17.9927,11.3481,4.4729,10299,20027,38050,-1299,4884,4786,4.4136,28.6439,0.6862,0.4789,0.1435,-1502,-0.0606,17.9927,0.526333771353482,-0.0341392904073587,1.02047638946929,-0.0394743758212878
